converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	130841.3698114	runs_epiclomal/0_0.95_10000/epi_region/0/cluster_posteriors.tsv.gz	70	187	1	-6.48008176592369e-16	0.4921875	0.24609375	NA	NA	NA	NA
1	104631.864315656	runs_epiclomal/0_0.95_10000/epi_region/1/cluster_posteriors.tsv.gz	88	182	2	0.828914435828653	0.033203125	0.001220703125	NA	NA	NA	NA
1	130841.3698114	runs_epiclomal/0_0.95_10000/epi_region/10/cluster_posteriors.tsv.gz	73	180	1	-6.48008176592369e-16	0.4921875	0.24609375	NA	NA	NA	NA
1	101252.563546824	runs_epiclomal/0_0.95_10000/epi_region/100/cluster_posteriors.tsv.gz	93	160	6	0.379363048423991	0.2578125	0.08184814453125	NA	NA	NA	0
1	97014.7853163907	runs_epiclomal/0_0.95_10000/epi_region/101/cluster_posteriors.tsv.gz	133	173	8	0.282175416584836	0.36328125	0.1373291015625	NA	NA	NA	0
1	130827.494588102	runs_epiclomal/0_0.95_10000/epi_region/102/cluster_posteriors.tsv.gz	8	184	1	-6.48008176592369e-16	0.4921875	0.24609375	NA	NA	NA	NA
1	104934.3832978	runs_epiclomal/0_0.95_10000/epi_region/103/cluster_posteriors.tsv.gz	97	166	6	0.258348677656974	0.3203125	0.10736083984375	NA	NA	NA	0
1	100981.410252873	runs_epiclomal/0_0.95_10000/epi_region/104/cluster_posteriors.tsv.gz	99	164	6	0.506965039310372	0.32421875	0.1143798828125	NA	NA	NA	0
1	103439.278629654	runs_epiclomal/0_0.95_10000/epi_region/105/cluster_posteriors.tsv.gz	155	161	5	0.457310414050012	0.240234375	0.0677490234375	NA	NA	NA	0
1	99552.7195610807	runs_epiclomal/0_0.95_10000/epi_region/106/cluster_posteriors.tsv.gz	92	163	6	0.383882297056324	0.3125	0.11505126953125	NA	NA	NA	0
1	100662.243706456	runs_epiclomal/0_0.95_10000/epi_region/107/cluster_posteriors.tsv.gz	142	172	8	0.28108287264431	0.35546875	0.13134765625	NA	NA	NA	0
1	100713.733246981	runs_epiclomal/0_0.95_10000/epi_region/108/cluster_posteriors.tsv.gz	116	162	6	0.392245776077192	0.23828125	0.070068359375	NA	NA	NA	0
