converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	130827.494588102	runs_epiclomal/0_0.95_10000/epi_region/102/cluster_posteriors.tsv.gz	8	184	1	-6.48008176592369e-16	0.4921875	0.24609375	NA	NA	NA	NA
1	104618.436006628	runs_epiclomal/0_0.95_10000/epi_region/287/cluster_posteriors.tsv.gz	23	143	2	0.828914435828653	0.033203125	0.001220703125	NA	NA	NA	NA
1	99795.3410346823	runs_epiclomal/0_0.95_10000/epi_region/91/cluster_posteriors.tsv.gz	36	148	3	0.780076184459015	0.15625	0.0439453125	NA	NA	NA	0
1	95737.7678989083	runs_epiclomal/0_0.95_10000/epi_region/13/cluster_posteriors.tsv.gz	97	182	4	0.5761773045554	0.228515625	0.07049560546875	NA	NA	NA	0
1	93475.8583868336	runs_epiclomal/0_0.95_10000/epi_region/4/cluster_posteriors.tsv.gz	110	185	5	0.564679858649717	0.275390625	0.08050537109375	NA	NA	NA	0
1	91786.158166954	runs_epiclomal/0_0.95_10000/epi_region/15/cluster_posteriors.tsv.gz	128	180	6	0.530730019657378	0.302734375	0.0994873046875	NA	NA	NA	0
1	89903.1020864929	runs_epiclomal/0_0.95_10000/epi_region/6/cluster_posteriors.tsv.gz	121	182	7	0.489179682950067	0.345703125	0.12664794921875	NA	NA	NA	0
1	87977.5926064716	runs_epiclomal/0_0.95_10000/epi_region/17/cluster_posteriors.tsv.gz	128	183	8	0.47111024161927	0.353515625	0.13739013671875	NA	NA	NA	0
1	86437.9634458664	runs_epiclomal/0_0.95_10000/epi_region/8/cluster_posteriors.tsv.gz	151	182	9	0.47518526900447	0.359375	0.13555908203125	NA	NA	NA	0
1	84770.8180764518	runs_epiclomal/0_0.95_10000/epi_region/9/cluster_posteriors.tsv.gz	125	180	10	0.455084866517363	0.375	0.14483642578125	NA	NA	NA	0
